,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
135,JPYUSD=X,Sinal 7,250.0,125,21.0,21,21.4,39,0.17,6,-2.9399999999999995
138,JPYUSD=X,Sinal 7,300.0,150,25.0,25,22.2,40,0.17,6,-2.9399999999999995
83,JPYUSD=X,Sinal 4,600.0,200,0.0,0,20.333333333333332,41,0.0,3,-3.0
81,JPYUSD=X,Sinal 4,400.0,200,0.0,0,20.333333333333332,41,0.0,3,-3.0
82,JPYUSD=X,Sinal 4,500.0,200,0.0,0,20.333333333333332,41,0.0,3,-3.0
71,JPYUSD=X,Sinal 4,300.0,100,13.0,13,11.666666666666666,28,0.14,7,-3.0799999999999996
68,JPYUSD=X,Sinal 4,225.0,75,7.0,7,11.5,28,0.14,7,-3.0799999999999996
134,JPYUSD=X,Sinal 7,300.0,100,25.0,25,20.833333333333332,59,0.14,7,-3.0799999999999996
131,JPYUSD=X,Sinal 7,225.0,75,20.0,20,19.5,54,0.14,7,-3.0799999999999996
32,JPYUSD=X,Sinal 2,375.0,125,28.0,49,14.064516129032258,41,0.23,40,-3.1999999999999984
133,JPYUSD=X,Sinal 7,250.0,100,21.0,21,20.833333333333332,59,0.14,7,-3.5700000000000003
130,JPYUSD=X,Sinal 7,187.5,75,18.0,18,19.5,54,0.14,7,-3.5700000000000003
73,JPYUSD=X,Sinal 4,312.5,125,13.0,13,15.0,33,0.14,7,-3.5700000000000003
67,JPYUSD=X,Sinal 4,187.5,75,6.0,6,11.5,28,0.14,7,-3.5700000000000003
70,JPYUSD=X,Sinal 4,250.0,100,7.0,7,11.666666666666666,28,0.14,7,-3.5700000000000003
79,JPYUSD=X,Sinal 4,437.5,175,0.0,0,24.0,38,0.0,4,-4.0
80,JPYUSD=X,Sinal 4,525.0,175,0.0,0,24.0,38,0.0,4,-4.0
49,JPYUSD=X,Sinal 3,250.0,100,25.85,55,10.79245283018868,54,0.27,73,-4.014999999999995
72,JPYUSD=X,Sinal 4,250.0,125,7.0,7,15.0,33,0.14,7,-4.06
69,JPYUSD=X,Sinal 4,200.0,100,7.0,7,11.666666666666666,28,0.14,7,-4.06
132,JPYUSD=X,Sinal 7,200.0,100,18.0,18,20.833333333333332,59,0.14,7,-4.06
33,JPYUSD=X,Sinal 2,300.0,150,25.692307692307693,53,14.666666666666666,40,0.3,43,-4.299999999999999
105,JPYUSD=X,Sinal 6,100.0,50,7.15,20,4.711111111111111,31,0.31,65,-4.549999999999997
57,JPYUSD=X,Sinal 3,350.0,175,32.6,59,17.555555555555557,59,0.31,65,-4.549999999999997
123,JPYUSD=X,Sinal 6,400.0,200,29.5,59,24.939393939393938,60,0.3,47,-4.699999999999999
54,JPYUSD=X,Sinal 3,300.0,150,28.571428571428573,56,15.76595744680851,59,0.31,68,-4.759999999999996
100,JPYUSD=X,Sinal 5,437.5,175,36.857142857142854,54,17.487179487179485,46,0.26,53,-4.769999999999999
53,JPYUSD=X,Sinal 3,375.0,125,32.06666666666667,55,14.56,54,0.23,65,-5.1999999999999975
74,JPYUSD=X,Sinal 4,375.0,125,0.0,0,15.0,33,0.0,6,-6.0
76,JPYUSD=X,Sinal 4,375.0,150,0.0,0,24.833333333333332,56,0.0,6,-6.0
77,JPYUSD=X,Sinal 4,450.0,150,0.0,0,24.833333333333332,56,0.0,6,-6.0
35,JPYUSD=X,Sinal 2,450.0,150,36.875,54,15.516129032258064,41,0.21,39,-6.240000000000001
34,JPYUSD=X,Sinal 2,375.0,150,28.0,49,15.516129032258064,41,0.23,40,-7.799999999999998
55,JPYUSD=X,Sinal 3,375.0,150,33.5625,56,17.26530612244898,59,0.25,65,-8.125
103,JPYUSD=X,Sinal 5,500.0,200,38.1,59,19.38235294117647,47,0.23,44,-8.579999999999998
48,JPYUSD=X,Sinal 3,200.0,100,22.19047619047619,55,10.538461538461538,54,0.29,73,-9.49
101,JPYUSD=X,Sinal 5,525.0,175,38.8,59,17.487179487179485,46,0.2,49,-9.799999999999997
37,JPYUSD=X,Sinal 2,437.5,175,35.25,52,18.3,45,0.21,38,-10.07
2,JPYUSD=X,Sinal 1,150.0,50,9.0,38,4.764705882352941,38,0.19,42,-10.08
39,JPYUSD=X,Sinal 2,400.0,200,31.0,59,21.678571428571427,55,0.24,37,-10.360000000000001
60,JPYUSD=X,Sinal 3,400.0,200,35.6875,59,20.53488372093023,60,0.27,59,-11.209999999999997
58,JPYUSD=X,Sinal 3,437.5,175,35.785714285714285,60,18.32608695652174,59,0.23,60,-11.699999999999998
3,JPYUSD=X,Sinal 1,150.0,75,13.1,48,7.84375,38,0.24,42,-11.760000000000002
9,JPYUSD=X,Sinal 1,250.0,125,24.77777777777778,49,15.933333333333334,47,0.23,39,-12.09
56,JPYUSD=X,Sinal 3,450.0,150,37.666666666666664,59,17.26530612244898,59,0.2,61,-12.199999999999998
15,JPYUSD=X,Sinal 1,350.0,175,34.75,59,21.75,55,0.22,36,-12.24
