,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
93,CHFUSD=X,Sinal 5,250.0,125,19.782608695652176,53,10.731707317073171,47,0.36,64,5.119999999999997
4,CHFUSD=X,Sinal 1,187.5,75,7.090909090909091,13,5.318181818181818,19,0.33,33,5.115000000000005
92,CHFUSD=X,Sinal 5,300.0,100,18.941176470588236,45,10.511111111111111,60,0.27,62,4.960000000000004
66,CHFUSD=X,Sinal 4,150.0,75,7.75,12,5.363636363636363,11,0.42,19,4.939999999999998
121,CHFUSD=X,Sinal 6,437.5,175,31.153846153846153,54,15.392857142857142,41,0.32,41,4.920000000000004
100,CHFUSD=X,Sinal 5,437.5,175,32.0,54,17.16216216216216,47,0.31,54,4.590000000000004
99,CHFUSD=X,Sinal 5,350.0,175,27.2,54,16.47222222222222,47,0.36,56,4.479999999999998
43,CHFUSD=X,Sinal 3,125.0,50,5.2105263157894735,14,2.6,17,0.3,64,3.200000000000003
45,CHFUSD=X,Sinal 3,150.0,75,10.045454545454545,35,4.024390243902439,13,0.35,63,3.149999999999996
96,CHFUSD=X,Sinal 5,300.0,150,21.19047619047619,53,14.846153846153847,60,0.35,60,2.999999999999996
102,CHFUSD=X,Sinal 5,400.0,200,30.36842105263158,54,18.485714285714284,47,0.35,54,2.6999999999999966
5,CHFUSD=X,Sinal 1,225.0,75,9.88888888888889,20,6.541666666666667,27,0.27,33,2.6400000000000023
3,CHFUSD=X,Sinal 1,150.0,75,5.5,12,5.0476190476190474,19,0.36,33,2.639999999999999
72,CHFUSD=X,Sinal 4,250.0,125,21.285714285714285,53,11.333333333333334,32,0.37,19,2.09
10,CHFUSD=X,Sinal 1,312.5,125,23.4,42,10.565217391304348,42,0.3,33,1.6500000000000015
42,CHFUSD=X,Sinal 3,100.0,50,3.9545454545454546,14,2.1666666666666665,7,0.34,64,1.2800000000000082
114,CHFUSD=X,Sinal 6,250.0,125,21.0625,53,8.709677419354838,34,0.34,47,0.940000000000006
75,CHFUSD=X,Sinal 4,300.0,150,20.5,46,14.545454545454545,32,0.35,17,0.8499999999999989
123,CHFUSD=X,Sinal 6,400.0,200,32.0,54,17.703703703703702,56,0.34,41,0.8200000000000053
65,CHFUSD=X,Sinal 4,150.0,50,7.4,12,3.142857142857143,11,0.26,19,0.7600000000000007
124,CHFUSD=X,Sinal 6,500.0,200,34.36363636363637,55,17.703703703703702,56,0.29,38,0.5700000000000005
73,CHFUSD=X,Sinal 4,312.5,125,16.6,28,11.333333333333334,32,0.29,17,0.2550000000000002
146,CHFUSD=X,Sinal 7,600.0,200,0.0,0,0.0,0,0.0,0,-0.0
140,CHFUSD=X,Sinal 7,450.0,150,0.0,0,0.0,0,0.0,0,-0.0
128,CHFUSD=X,Sinal 7,150.0,50,0.0,0,0.0,0,0.0,0,-0.0
127,CHFUSD=X,Sinal 7,125.0,50,0.0,0,0.0,0,0.0,0,-0.0
126,CHFUSD=X,Sinal 7,100.0,50,0.0,0,0.0,0,0.0,0,-0.0
131,CHFUSD=X,Sinal 7,225.0,75,0.0,0,0.0,0,0.0,0,-0.0
