,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
29,EURUSD=X,Sinal 2,300.0,100,28.75,48,11.921052631578947,60,0.17,46,-14.719999999999997
32,EURUSD=X,Sinal 2,375.0,125,39.57142857142857,59,14.472222222222221,52,0.16,43,-15.479999999999999
17,EURUSD=X,Sinal 1,525.0,175,20.333333333333332,34,19.76,60,0.11,28,-15.680000000000001
36,EURUSD=X,Sinal 2,350.0,175,35.5,55,15.545454545454545,41,0.2,41,-16.400000000000002
34,EURUSD=X,Sinal 2,375.0,150,39.57142857142857,59,15.411764705882353,53,0.17,41,-16.604999999999997
39,EURUSD=X,Sinal 2,400.0,200,44.2,59,20.272727272727273,60,0.13,38,-23.18
37,EURUSD=X,Sinal 2,437.5,175,50.5,54,16.676470588235293,54,0.06,36,-28.439999999999998
40,EURUSD=X,Sinal 2,500.0,200,56.5,60,21.264705882352942,60,0.06,36,-28.439999999999998
35,EURUSD=X,Sinal 2,450.0,150,51.0,55,16.514285714285716,54,0.05,37,-29.599999999999998
38,EURUSD=X,Sinal 2,525.0,175,53.0,53,16.676470588235293,54,0.03,35,-30.8
41,EURUSD=X,Sinal 2,600.0,200,0.0,0,21.264705882352942,60,0.0,34,-34.0
